X,Y,OBJECTID,KC_Fac_FID,KCParkFID,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType,Label_Type
-122.205024463428,47.6219365686768,1,4612,5252903,Manor Hill Park,Other Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.464481262322,47.4323890711221,2,8153,3220602,Matsuda Farm,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.467173052633,47.4314667047731,3,8153,3220602,Matsuda Farm,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.506105905093,47.3900160952634,4,4893,2221401,Christiansen Pond Natural Area,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.520943356155,47.3581502897688,5,7811,2223501,Camp Sealth Creek Natural Area,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.522978282839,47.3611513326097,6,7811,2223501,Camp Sealth Creek Natural Area,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.357895206132,47.6365629064195,7,2856,3252401,Queen Anne Pool Site,Pool Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.207018691076,47.4783099181708,8,6894,5231708,Tonkins Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1
-122.19627825791,47.4816141423576,9,2826,5231702,Cedar River Park - Renton,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1
-122.375881512094,47.5614917354269,10,7223,3242410,Rotary Viewpoint,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.375897529785,47.5593456683229,11,7223,3242410,Rotary Viewpoint,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.172797216388,47.6090869372396,12,2604,5253301,Wilburton Hill Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.149533816589,47.615901779684,13,2863,5253401,Bellevue Pool Site,Pool Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,0
-122.149990359842,47.6157911318183,14,2863,5253401,Bellevue Pool Site,Pool Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.344047271621,47.2970127202856,15,2854,4211906,Weyerhaeuser King County Aquatic Center Site,Pool Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.343161057965,47.2954447788167,16,2854,4211906,Weyerhaeuser King County Aquatic Center Site,Pool Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-121.878855529945,47.5391226843623,17,5380,7242615,Curtis Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,1
-122.139654307634,47.552913919205,18,5038,5242311,Saddleback Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,0
-122.137420013376,47.5536453201497,19,5038,5242311,Saddleback Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.322635693576,47.6717290219994,20,7100,4250805,NE 60th Street Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.297826472095,47.7489506158542,21,8228,4260902,Grace Cole Nature Park,Park Site,City of Lake Forest Park,City,City of Lake Forest Park,City,City of Lake Forest Park,City,0
-122.297696147836,47.7497157270459,22,8228,4260902,Grace Cole Nature Park,Park Site,City of Lake Forest Park,City,City of Lake Forest Park,City,City of Lake Forest Park,City,1
-122.277724936968,47.4745967306373,23,2865,4231501,Tukwila Pool Site,Pool Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.220474677083,47.5741797729646,24,2857,5241801,Mary Wayte Pool Site,Pool Site,Mercer Island School District,School District,Northwest Center,Other,Northwest Center,Other,0
-122.221147146962,47.5741821596845,25,2857,5241801,Mary Wayte Pool Site,Pool Site,Mercer Island School District,School District,Northwest Center,Other,Northwest Center,Other,1
-122.158964527322,47.4695363699705,26,2754,5232203,Maplewood Golf Course,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,0
-122.16052303186,47.4720720616728,27,2754,5232203,Maplewood Golf Course,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1
-122.321400088111,47.5516061060653,28,2294,4242002,Georgetown Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.20858957462,47.4800627416006,29,6891,5231802,Piazza Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1
-122.211479421799,47.6457756224595,30,2580,5251901,Yarrow Bay Wetlands,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,0
-122.206770893881,47.6475366128546,31,2580,5251901,Yarrow Bay Wetlands,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1
-122.287234201985,47.5601529312364,32,7067,4242205,Columbia Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.197484557006,47.5791365611928,33,5481,5240801,Enatai Beach Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.40913945407,47.6512913793446,34,7114,3251505,Arapahoe Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.155277818716,47.5507277341241,35,5017,5242206,Forest Park - Upper Washout Way,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.189854353801,47.6909558098161,36,2703,5263204,Highlands Park - Kirkland,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1
-122.049753684951,47.5283073075844,37,8049,6243301,Hillside Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,1
-122.143106817583,47.3788331972628,38,3175,5222301,Soos Creek Shop Complex,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.133512144265,47.5287634855467,39,5115,5243504,Gleneagles Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,1
-122.278836124068,47.4984862169229,40,7959,4231003,Duwamish Park - Tukwila,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.227904410803,47.6127728803178,41,5101,5253103,View Point Park - Medina,Park Site,City of Medina,City,City of Medina,City,City of Medina,City,1
-122.168572510286,47.467061321413,42,2809,5231605,Cedar River Natural Zone,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,0
-122.192640091688,47.4759218077545,43,2809,5231605,Cedar River Natural Zone,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1
-121.960096634792,47.57830021253,44,2794,7240701,Fall City Park West,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.349543583897,47.5615175380961,45,7063,4241902,Herrings House Park (Tualtwx),Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.406385427916,47.6394130191467,46,7230,3252205,Carleton Center,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.162569849186,47.5507672205856,47,5016,5242205,Forest Park - Lower Washout Way,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.121118406982,47.4461577126753,48,3092,5232502,McGarvey Park Open Space,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.106232148817,47.4535982690829,49,3092,5232502,McGarvey Park Open Space,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.215443046069,47.5334654859856,50,2653,5243002,Clarke Beach Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,1
-122.343906783653,47.5098319921563,51,2561,4230602,White Center Heights Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.344279330633,47.5111139869019,52,2561,4230602,White Center Heights Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.277749696935,47.4369956180975,53,2526,4233401,Valley Ridge Park,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,0
-122.275020794883,47.4363809344545,54,2526,4233401,Valley Ridge Park,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,1
-122.35695971682,47.6261606028436,55,7147,3252508,Kinnear Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.451617086548,47.3883347432667,56,2475,3221701,Burton Acres and Jenson Point,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.450695010943,47.3901396818277,57,2475,3221701,Burton Acres and Jenson Point,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.125438341724,47.6744111440888,58,14585,5251106,Downtown Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1
-122.41837762316,47.38772472483,59,2736,3222101,Mileta Creek Preserve,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.417382929917,47.3877783327145,60,2736,3222101,Mileta Creek Preserve,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.194708584601,47.624114112638,61,2608,5252902,Zumdieck Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-122.500401047406,47.3756767332203,62,8168,2222504,Frog Holler Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.497128276293,47.3724199796821,63,8168,2222504,Frog Holler Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.507380348946,47.3773648313575,64,8168,2222504,Frog Holler Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-121.808158272515,47.5217284993674,65,5081,8243204,Centennial Fields,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,1
-122.175062289992,47.5363777520174,66,5108,5242803,Donegal Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,1
-122.259794902495,47.3221997239835,67,7589,4211102,Jornada Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1
-122.132786822417,47.5597257743612,68,5048,5241404,The Heights Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,0
-122.131411405928,47.5613546344228,69,5048,5241404,The Heights Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1
-121.775531691478,47.5210297937749,70,2450,8243401,Three Forks Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-121.777907326893,47.5188834413242,71,2450,8243401,Three Forks Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-121.800124617678,47.5273540422336,72,2450,8243401,Three Forks Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.351458003188,47.442450813607,73,8107,4233102,Brittany Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,1
